      #Energy        TDOS-UP        TDOS-DOWN
     -29.07093       0.00000       0.00000
     -29.05793       0.00000       0.00000
     -29.04393       0.00000       0.00000
     -29.03093       0.00000       0.00000
     -29.01793       0.00000       0.00000
     -29.00393       0.00000       0.00000
     -28.99093       0.00000       0.00000
     -28.97793       0.00000       0.00000
     -28.96393       0.00000       0.00000
     -28.95093       0.00000       0.00000
     -28.93793       0.00000       0.00000
     -28.92393       0.00000       0.00000
     -28.91093       0.00000       0.00000
     -28.89793       0.00000       0.00000
     -28.88393       0.00000       0.00000
     -28.87093       0.00000       0.00000
     -28.85793       0.00000       0.00000
     -28.84393       0.00000       0.00000
     -28.83093       0.00000       0.00000
     -28.81793       0.00000       0.00000
     -28.80393       0.00000       0.00000
     -28.79093       0.00000       0.00000
     -28.77793       0.00000       0.00000
     -28.76393       0.00000       0.00000
     -28.75093       0.00000       0.00000
     -28.73793       0.00000       0.00000
     -28.72393       0.00000       0.00000
     -28.71093       0.00000       0.00000
     -28.69793       0.00000       0.00000
     -28.68393       0.00000       0.00000
     -28.67093       0.00000       0.00000
     -28.65793       0.00000       0.00000
     -28.64393       0.00000       0.00000
     -28.63093       0.00000       0.00000
     -28.61793       0.00000       0.00000
     -28.60393       0.00000       0.00000
     -28.59093       0.00000       0.00000
     -28.57793       0.00000       0.00000
     -28.56393       0.00000       0.00000
     -28.55093       0.00000       0.00000
     -28.53793       0.00000       0.00000
     -28.52393       0.00000       0.00000
     -28.51093       0.00000       0.00000
     -28.49793       0.00000       0.00000
     -28.48393       0.00000       0.00000
     -28.47093       0.00000       0.00000
     -28.45793       0.00000       0.00000
     -28.44393       0.00000       0.00000
     -28.43093       0.00000       0.00000
     -28.41793       0.00000       0.00000
     -28.40393       0.00000       0.00000
     -28.39093       0.00000       0.00000
     -28.37793       0.00000       0.00000
     -28.36393       0.00000       0.00000
     -28.35093       0.00000       0.00000
     -28.33793       0.00000       0.00000
     -28.32393       0.00000       0.00000
     -28.31093       0.00000       0.00000
     -28.29793       0.00000       0.00000
     -28.28393       0.00000       0.00000
     -28.27093       0.00000       0.00000
     -28.25693       0.00000       0.00000
     -28.24393       0.00000       0.00000
     -28.23093       0.00000       0.00000
     -28.21693       0.00000       0.00000
     -28.20393       0.00000       0.00000
     -28.19093       0.00000       0.00000
     -28.17693       0.00000       0.00000
     -28.16393       0.00000       0.00000
     -28.15093       0.00000       0.00000
     -28.13693       0.00000       0.00000
     -28.12393       0.00000       0.00000
     -28.11093       0.00000       0.00000
     -28.09693       0.00000       0.00000
     -28.08393       0.00000       0.00000
     -28.07093       0.00000       0.00000
     -28.05693       0.00000       0.00000
